Count_bfp_objects,Count_gfp_objects,FileName_bfp,FileName_gfp,ImageNumber
4314.0,40.0,"C10_-1_3_1_Stitched[DAPI 377,447]_001.tif","C10_-1_2_1_Stitched[GFP 469,525]_001.tif",131
4661.0,44.0,"C10_-1_3_1_Stitched[DAPI 377,447]_002.tif","C10_-1_2_1_Stitched[GFP 469,525]_002.tif",132
4867.0,46.0,"C10_-1_3_1_Stitched[DAPI 377,447]_003.tif","C10_-1_2_1_Stitched[GFP 469,525]_003.tif",133
5066.0,55.0,"C10_-1_3_1_Stitched[DAPI 377,447]_004.tif","C10_-1_2_1_Stitched[GFP 469,525]_004.tif",134
5272.0,47.0,"C10_-1_3_1_Stitched[DAPI 377,447]_005.tif","C10_-1_2_1_Stitched[GFP 469,525]_005.tif",135
5450.0,46.0,"C10_-1_3_1_Stitched[DAPI 377,447]_006.tif","C10_-1_2_1_Stitched[GFP 469,525]_006.tif",136
5730.0,54.0,"C10_-1_3_1_Stitched[DAPI 377,447]_007.tif","C10_-1_2_1_Stitched[GFP 469,525]_007.tif",137
5723.0,50.0,"C10_-1_3_1_Stitched[DAPI 377,447]_008.tif","C10_-1_2_1_Stitched[GFP 469,525]_008.tif",138
5920.0,63.0,"C10_-1_3_1_Stitched[DAPI 377,447]_009.tif","C10_-1_2_1_Stitched[GFP 469,525]_009.tif",139
6080.0,69.0,"C10_-1_3_1_Stitched[DAPI 377,447]_010.tif","C10_-1_2_1_Stitched[GFP 469,525]_010.tif",140
5990.0,90.0,"C10_-1_3_1_Stitched[DAPI 377,447]_011.tif","C10_-1_2_1_Stitched[GFP 469,525]_011.tif",141
6195.0,85.0,"C10_-1_3_1_Stitched[DAPI 377,447]_012.tif","C10_-1_2_1_Stitched[GFP 469,525]_012.tif",142
6214.0,121.0,"C10_-1_3_1_Stitched[DAPI 377,447]_013.tif","C10_-1_2_1_Stitched[GFP 469,525]_013.tif",143
4760.0,74.0,"C11_-1_3_1_Stitched[DAPI 377,447]_001.tif","C11_-1_2_1_Stitched[GFP 469,525]_001.tif",144
4915.0,94.0,"C11_-1_3_1_Stitched[DAPI 377,447]_002.tif","C11_-1_2_1_Stitched[GFP 469,525]_002.tif",145
5199.0,95.0,"C11_-1_3_1_Stitched[DAPI 377,447]_003.tif","C11_-1_2_1_Stitched[GFP 469,525]_003.tif",146
5179.0,94.0,"C11_-1_3_1_Stitched[DAPI 377,447]_004.tif","C11_-1_2_1_Stitched[GFP 469,525]_004.tif",147
5683.0,81.0,"C11_-1_3_1_Stitched[DAPI 377,447]_005.tif","C11_-1_2_1_Stitched[GFP 469,525]_005.tif",148
